database_family	revised_family	database_name	revised_name	database	tax_ref	year_ref	canine	evidence_canine	reference_canine	obs_canine	diet	reference diet	horn	reference_horn	obs1	obs2	category	is_ruminant
Antilocapridae	Antilocapridae	Hexobelomeryx_fricki	Hexobelomeryx_fricki	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Ilingoceros_alexandrae	Ilingoceros_alexandrae	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Ilingoceros_alexandrae	Ilingoceros_alexandrae	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Ilingoceros_schizoceras	Ilingoceros_alexandrae	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								synonymized	yes
Antilocapridae	Antilocapridae	Ilingoceros_schizoceros	Ilingoceros_alexandrae	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								synonymized	yes
Antilocapridae	Antilocapridae	Merriamoceros_coronatus	Merriamoceros_coronatus	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Merriamoceros_coronatus	Merriamoceros_coronatus	pbdb	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 								valid_species	yes
Antilocapridae	Antilocapridae	Meryceros_crucensis	Meryceros_crucensis	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 							genera Meryceros; Merycodus and Submeryceros may reflect a single genera; but it seems that the names reflect 3 different lineages (Prothero & Foss 2007). So we will maintain them separated as genera to maintain this information	valid_species	yes
Antilocapridae	Antilocapridae	Meryceros_hookwayi	Meryceros_hookwayi	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 							genera Meryceros; Merycodus and Submeryceros may reflect a single genera; but it seems that the names reflect 3 different lineages (Prothero & Foss 2007). So we will maintain them separated as genera to maintain this information	valid_species	yes
Antilocapridae	Antilocapridae	Meryceros_joraki	Meryceros_joraki	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 							genera Meryceros; Merycodus and Submeryceros may reflect a single genera; but it seems that the names reflect 3 different lineages (Prothero & Foss 2007). So we will maintain them separated as genera to maintain this information	valid_species	yes
Antilocapridae	Antilocapridae	Meryceros_major	Meryceros_major	now	Prothero; D. R.; & Foss; S. E. (Eds.). (2007). The evolution of artiodactyls. JHU Press.	2007	 	 	 							genera Meryceros; Merycodus and Submeryceros may reflect a single genera; but it seems that the names reflect 3 different lineages (Prothero & Foss 2007). So we will maintain them separated as genera to maintain this information	valid_species	yes
